CPU Name,CPU Mark
Intel Celeron 1020M @ 2.10GHz,1275
Intel Celeron 1037U @ 1.80GHz,1033
Intel Celeron 1047UE @ 1.40GHz,748
Intel Celeron 1066MHz,168
Intel Celeron 1100MHz,113
Intel Celeron 1133MHz,184
Intel Celeron 1200MHz,159
Intel Celeron 1300MHz,187
Intel Celeron 1333MHz,189
Intel Celeron 1400MHz,197
Intel Celeron 2.00GHz,125
Intel Celeron 2.10GHz,159
Intel Celeron 2.13GHz,166
Intel Celeron 2.20GHz,139
Intel Celeron 2.26GHz,182
Intel Celeron 2.30GHz,148
Intel Celeron 2.40GHz,143
Intel Celeron 2.50GHz,164
Intel Celeron 2.53GHz,222
Intel Celeron 2.60GHz,143
Intel Celeron 2.66GHz,131
Intel Celeron 2.70GHz,159
Intel Celeron 2.80GHz,190
Intel Celeron 2.93GHz,238
Intel Celeron 2000E @ 2.20GHz,1607
Intel Celeron 2002E @ 1.50GHz,1091
Intel Celeron 215 @ 1.33GHz,174
Intel Celeron 220 @ 1.20GHz,209
Intel Celeron 2950M @ 2.00GHz,1248
Intel Celeron 2955U @ 1.40GHz,905
Intel Celeron 2957U @ 1.40GHz,847
Intel Celeron 2961Y @ 1.10GHz,684
Intel Celeron 2970M @ 2.20GHz,1501
Intel Celeron 2980U @ 1.60GHz,1092
Intel Celeron 2981U @ 1.60GHz,1036
Intel Celeron 3.06GHz,307
Intel Celeron 3.20GHz,267
Intel Celeron 3.33GHz,263
Intel Celeron 3205U @ 1.50GHz,956
Intel Celeron 3215U @ 1.70GHz,1097
Intel Celeron 3755U @ 1.70GHz,1182
Intel Celeron 3765U @ 1.90GHz,1270
Intel Celeron 3855U @ 1.60GHz,1218
Intel Celeron 3865U @ 1.80GHz,1344
Intel Celeron 3867U @ 1.80GHz,1425
Intel Celeron 3955U @ 2.00GHz,1455
Intel Celeron 3965U @ 2.20GHz,1753
Intel Celeron 3965Y @ 1.50GHz,1201
Intel Celeron 420 @ 1.60GHz,231
Intel Celeron 4205U @ 1.80GHz,1343
Intel Celeron 430 @ 1.80GHz,305
Intel Celeron 4305U @ 2.20GHz,1562
Intel Celeron 4305UE @ 2.00GHz,1699
Intel Celeron 4305UT @ 2.00GHz,1222
Intel Celeron 440 @ 2.00GHz,368
Intel Celeron 450 @ 2.20GHz,433
Intel Celeron 5205U @ 1.90GHz,1428
Intel Celeron 530 @ 1.73GHz,268
Intel Celeron 5305U @ 2.30GHz,1307
Intel Celeron 540 @ 1.86GHz,305
Intel Celeron 550 @ 2.00GHz,334
Intel Celeron 560 @ 2.13GHz,339
Intel Celeron 570 @ 2.26GHz,344
Intel Celeron 600MHz,96
Intel Celeron 6305 @ 1.80GHz,2039
Intel Celeron 6305E @ 1.80GHz,2021
Intel Celeron 6600HE @ 2.60GHz,3286
Intel Celeron 6600HLE @ 2.10GHz,2614
Intel Celeron 6600HLE @ 2.60GHz,3388
Intel Celeron 723 @ 1.20GHz,213
Intel Celeron 7305,2553
Intel Celeron 7305E,2451
Intel Celeron 743 @ 1.30GHz,275
Intel Celeron 807 @ 1.50GHz,392
Intel Celeron 807UE @ 1.00GHz,241
Intel Celeron 827E @ 1.40GHz,371
Intel Celeron 847 @ 1.10GHz,510
Intel Celeron 847E @ 1.10GHz,584
Intel Celeron 857 @ 1.20GHz,569
Intel Celeron 867 @ 1.30GHz,588
Intel Celeron 877 @ 1.40GHz,677
Intel Celeron 887 @ 1.50GHz,764
Intel Celeron 900 @ 2.20GHz,409
Intel Celeron 925 @ 2.30GHz,450
Intel Celeron @ 1.30GHz,572
Intel Celeron B710 @ 1.60GHz,106
Intel Celeron B720 @ 1.70GHz,462
Intel Celeron B800 @ 1.50GHz,695
Intel Celeron B810 @ 1.60GHz,771
Intel Celeron B815 @ 1.60GHz,757
Intel Celeron B820 @ 1.70GHz,804
Intel Celeron B830 @ 1.80GHz,870
Intel Celeron B840 @ 1.90GHz,975
Intel Celeron D 347 @ 3.06GHz,232
Intel Celeron D 352 @ 3.20GHz,274
Intel Celeron D 356 @ 3.33GHz,251
Intel Celeron D 360 @ 3.46GHz,372
Intel Celeron D 365 @ 3.60GHz,337
Intel Celeron D 420 @ 1.60GHz,313
Intel Celeron D 430 @ 1.80GHz,381
Intel Celeron E1200 @ 1.60GHz,516
Intel Celeron E1400 @ 2.00GHz,735
Intel Celeron E1500 @ 2.20GHz,626
Intel Celeron E1600 @ 2.40GHz,840
Intel Celeron E3200 @ 2.40GHz,900
Intel Celeron E3300 @ 2.50GHz,877
Intel Celeron E3400 @ 2.60GHz,893
Intel Celeron E3500 @ 2.70GHz,935
Intel Celeron G1101 @ 2.27GHz,1086
Intel Celeron G1610 @ 2.60GHz,1547
Intel Celeron G1610T @ 2.30GHz,1322
Intel Celeron G1620 @ 2.70GHz,1598
Intel Celeron G1620T @ 2.40GHz,1532
Intel Celeron G1630 @ 2.80GHz,1707
Intel Celeron G1820 @ 2.70GHz,1675
Intel Celeron G1820T @ 2.40GHz,1599
Intel Celeron G1820TE @ 2.20GHz,1141
Intel Celeron G1830 @ 2.80GHz,1560
Intel Celeron G1840 @ 2.80GHz,1785
Intel Celeron G1840T @ 2.50GHz,1576
Intel Celeron G1850 @ 2.90GHz,1915
Intel Celeron G3900 @ 2.80GHz,2156
Intel Celeron G3900E @ 2.40GHz,2034
Intel Celeron G3900T @ 2.60GHz,1909
Intel Celeron G3900TE @ 2.30GHz,1850
Intel Celeron G3920 @ 2.90GHz,2333
Intel Celeron G3930 @ 2.90GHz,2249
Intel Celeron G3930T @ 2.70GHz,2023
Intel Celeron G3930TE @ 2.70GHz,2218
Intel Celeron G3950 @ 3.00GHz,2336
Intel Celeron G440 @ 1.60GHz,420
Intel Celeron G460 @ 1.80GHz,490
Intel Celeron G465 @ 1.90GHz,559
Intel Celeron G470 @ 2.00GHz,556
Intel Celeron G4900 @ 3.10GHz,2374
Intel Celeron G4900T @ 2.90GHz,2247
Intel Celeron G4920 @ 3.20GHz,2435
Intel Celeron G4930 @ 3.20GHz,2551
Intel Celeron G4930T @ 3.00GHz,2287
Intel Celeron G4950 @ 3.30GHz,2714
Intel Celeron G530 @ 2.40GHz,1150
Intel Celeron G530T @ 2.00GHz,933
Intel Celeron G540 @ 2.50GHz,1184
Intel Celeron G540T @ 2.10GHz,1137
Intel Celeron G550 @ 2.60GHz,1275
Intel Celeron G550T @ 2.20GHz,1074
Intel Celeron G555 @ 2.70GHz,1427
Intel Celeron G5900 @ 3.40GHz,2669
Intel Celeron G5900E @ 3.20GHz,1809
Intel Celeron G5900T @ 3.20GHz,2192
Intel Celeron G5905 @ 3.50GHz,2770
Intel Celeron G5905T @ 3.30GHz,2356
Intel Celeron G5920 @ 3.50GHz,2577
Intel Celeron G5925 @ 3.60GHz,2836
Intel Celeron G6900,4481
Intel Celeron G6900E,4272
Intel Celeron G6900T,3668
Intel Celeron G6900TE,2782
Intel Celeron J1750 @ 2.41GHz,538
Intel Celeron J1800 @ 2.41GHz,574
Intel Celeron J1850 @ 1.99GHz,942
Intel Celeron J1900 @ 1.99GHz,1150
Intel Celeron J3060 @ 1.60GHz,671
Intel Celeron J3160 @ 1.60GHz,1255
Intel Celeron J3355 @ 2.00GHz,1195
Intel Celeron J3455 @ 1.50GHz,2239
Intel Celeron J3455E @ 1.50GHz,2193
Intel Celeron J4005 @ 2.00GHz,1547
Intel Celeron J4025 @ 2.00GHz,1448
Intel Celeron J4105 @ 1.50GHz,2819
Intel Celeron J4115 @ 1.80GHz,2678
Intel Celeron J4125 @ 2.00GHz,2931
Intel Celeron J6412 @ 2.00GHz,3822
Intel Celeron J6413 @ 1.80GHz,3938
Intel Celeron M 1.00GHz,149
Intel Celeron M 1.30GHz,205
Intel Celeron M 1.50GHz,192
Intel Celeron M 1.60GHz,190
Intel Celeron M 1.70GHz,252
Intel Celeron M 1200MHz,179
Intel Celeron M 1300MHz,197
Intel Celeron M 1500MHz,217
Intel Celeron M 360 1.40GHz,221
Intel Celeron M 410 @ 1.46GHz,123
Intel Celeron M 420 @ 1.60GHz,139
Intel Celeron M 430 @ 1.73GHz,169
Intel Celeron M 440 @ 1.86GHz,169
Intel Celeron M 443 @ 1.20GHz,125
Intel Celeron M 450 @ 2.00GHz,230
Intel Celeron M 520 @ 1.60GHz,239
Intel Celeron M 530 @ 1.73GHz,320
Intel Celeron M 540 @ 1.86GHz,353
Intel Celeron M 600MHz,98
Intel Celeron M 723 @ 1.20GHz,267
Intel Celeron M 900MHz,123
Intel Celeron M ULV 800MHz,120
Intel Celeron N2805 @ 1.46GHz,335
Intel Celeron N2806 @ 1.60GHz,486
Intel Celeron N2807 @ 1.58GHz,497
Intel Celeron N2808 @ 1.58GHz,491
Intel Celeron N2810 @ 2.00GHz,396
Intel Celeron N2815 @ 1.86GHz,496
Intel Celeron N2820 @ 2.13GHz,507
Intel Celeron N2830 @ 2.16GHz,546
Intel Celeron N2840 @ 2.16GHz,583
Intel Celeron N2910 @ 1.60GHz,788
Intel Celeron N2920 @ 1.86GHz,941
Intel Celeron N2930 @ 1.83GHz,1029
Intel Celeron N2940 @ 1.83GHz,1055
Intel Celeron N3000 @ 1.04GHz,646
Intel Celeron N3010 @ 1.04GHz,616
Intel Celeron N3050 @ 1.60GHz,590
Intel Celeron N3060 @ 1.60GHz,654
Intel Celeron N3150 @ 1.60GHz,1179
Intel Celeron N3160 @ 1.60GHz,1185
Intel Celeron N3350 @ 1.10GHz,1113
Intel Celeron N3450 @ 1.10GHz,1978
Intel Celeron N4000 @ 1.10GHz,1430
Intel Celeron N4000C @ 1.10GHz,1456
Intel Celeron N4020 @ 1.10GHz,1537
Intel Celeron N4020C @ 1.10GHz,1539
Intel Celeron N4100 @ 1.10GHz,2454
Intel Celeron N4120 @ 1.10GHz,2458
Intel Celeron N4500 @ 1.10GHz,1795
Intel Celeron N4505 @ 2.00GHz,1995
Intel Celeron N5095 @ 2.00GHz,4007
Intel Celeron N5095A @ 2.00GHz,4048
Intel Celeron N5100 @ 1.10GHz,3307
Intel Celeron N5105 @ 2.00GHz,3993
Intel Celeron N6210 @ 1.20GHz,1915
Intel Celeron N6211 @ 1.20GHz,2245
Intel Celeron P4500 @ 1.87GHz,878
Intel Celeron P4505 @ 1.87GHz,689
Intel Celeron P4600 @ 2.00GHz,893
Intel Celeron SU2300 @ 1.20GHz,458
Intel Celeron T1600 @ 1.66GHz,569
Intel Celeron T1700 @ 1.83GHz,600
Intel Celeron U1900 @ 1.99GHz,1028
Intel Celeron U3400 @ 1.07GHz,516
Intel Celeron U3405 @ 1.07GHz,446
Intel Celeron U3600 @ 1.20GHz,539
Intel Core 3 100HL,17586
Intel Core 3 100U,12767
Intel Core 3 201E,14373
Intel Core 3 N350,7181
Intel Core 3 N355,10363
Intel Core 330 @ 1.60GHz,419
Intel Core 5 120,21517
Intel Core 5 120F,21477
Intel Core 5 120U,15745
Intel Core 5 120UL,10558
Intel Core 5 210H,18387
Intel Core 5 211EF,23988
Intel Core 5 211TE,11685
Intel Core 5 213PE,27488
Intel Core 5 220H,21821
Intel Core 5 220U,14240
Intel Core 5 221E,32646
Intel Core 5 221TE,19513
Intel Core 5 223PE,32658
Intel Core 7 150U,14956
Intel Core 7 160UL,11043
Intel Core 7 240H,24384
Intel Core 7 250H,25684
Intel Core 7 250U,15093
Intel Core 7 251TE,29105
Intel Core 7 253PE,31802
Intel Core 860 @ 2.80GHz,2754
Intel Core 9 270H,29023
Intel Core Duo L2300 @ 1.50GHz,387
Intel Core Duo L2400 @ 1.66GHz,348
Intel Core Duo L2500 @ 1.83GHz,404
Intel Core Duo T2050 @ 1.60GHz,333
Intel Core Duo T2250 @ 1.73GHz,350
Intel Core Duo T2300 @ 1.66GHz,325
Intel Core Duo T2350 @ 1.86GHz,385
Intel Core Duo T2400 @ 1.83GHz,366
Intel Core Duo T2450 @ 2.00GHz,411
Intel Core Duo T2500 @ 2.00GHz,408
Intel Core Duo T2600 @ 2.16GHz,460
Intel Core Duo T2700 @ 2.33GHz,498
Intel Core Duo U2400 @ 1.06GHz,255
Intel Core Duo U2500 @ 1.20GHz,223
Intel Core i3-1000NG4 @ 1.10GHz,3516
Intel Core i3-1005G1 @ 1.20GHz,4809
Intel Core i3-10100 @ 3.60GHz,8512
Intel Core i3-10100E @ 3.20GHz,7816
Intel Core i3-10100F @ 3.60GHz,8717
Intel Core i3-10100T @ 3.00GHz,7309
Intel Core i3-10100TE @ 2.30GHz,6371
Intel Core i3-10100Y @ 1.30GHz,2983
Intel Core i3-10105 @ 3.70GHz,8247
Intel Core i3-10105F @ 3.70GHz,8890
Intel Core i3-10105T @ 3.00GHz,7784
Intel Core i3-10110U @ 2.10GHz,3832
Intel Core i3-10110Y @ 1.00GHz,3106
Intel Core i3-1025G1 @ 1.20GHz,6122
Intel Core i3-10300 @ 3.70GHz,9290
Intel Core i3-10300T @ 3.00GHz,7868
Intel Core i3-10305 @ 3.80GHz,9210
Intel Core i3-10305T @ 3.00GHz,8512
Intel Core i3-10320 @ 3.80GHz,9988
Intel Core i3-10325 @ 3.90GHz,10291
Intel Core i3-11100B @ 3.60GHz,11357
Intel Core i3-11100HE @ 2.40GHz,11781
Intel Core i3-1110G4 @ 1.80GHz,4348
Intel Core i3-1115G4 @ 3.00GHz,5849
Intel Core i3-1115G4E @ 3.00GHz,5258
Intel Core i3-1115GRE @ 3.00GHz,4588
Intel Core i3-1125G4 @ 2.00GHz,9273
Intel Core i3-12100,12413
Intel Core i3-12100E,13599
Intel Core i3-12100F,13973
Intel Core i3-12100T,12437
Intel Core i3-12100TE,10511
Intel Core i3-1210U,9525
Intel Core i3-1215U,10223
Intel Core i3-1215UE,8331
Intel Core i3-1215UL,7817
Intel Core i3-1220P,15170
Intel Core i3-1220PE,16146
Intel Core i3-12300,14342
Intel Core i3-12300HL,20321
Intel Core i3-12300T,13075
Intel Core i3-1305U,8597
Intel Core i3-13100,14081
Intel Core i3-13100E,13727
Intel Core i3-13100F,14669
Intel Core i3-13100T,12728
Intel Core i3-13100TE,11248
Intel Core i3-1315U,11175
Intel Core i3-1315UE,9252
Intel Core i3-1315URE,9161
Intel Core i3-1320PE,11849
Intel Core i3-1320PRE,17759
Intel Core i3-13300HE,21057
Intel Core i3-14100,15159
Intel Core i3-14100F,15398
Intel Core i3-14100T,13725
Intel Core i3-2100 @ 3.10GHz,1862
Intel Core i3-2100T @ 2.50GHz,1542
Intel Core i3-2102 @ 3.10GHz,2029
Intel Core i3-2105 @ 3.10GHz,1846
Intel Core i3-21050 @ 3.10GHz,2193
Intel Core i3-2120 @ 3.30GHz,1978
Intel Core i3-2120T @ 2.60GHz,1573
Intel Core i3-2125 @ 3.30GHz,2083
Intel Core i3-2130 @ 3.40GHz,2067
Intel Core i3-2140 @ 3.50GHz,2307
Intel Core i3-2310E @ 2.10GHz,1845
Intel Core i3-2310M @ 2.10GHz,1222
Intel Core i3-2312M @ 2.10GHz,1189
Intel Core i3-2328M @ 2.20GHz,1231
Intel Core i3-2330E @ 2.20GHz,1823
Intel Core i3-2330M @ 2.20GHz,1251
Intel Core i3-2332M @ 2.20GHz,1353
Intel Core i3-2340UE @ 1.30GHz,976
Intel Core i3-2348M @ 2.30GHz,1286
Intel Core i3-2350M @ 2.30GHz,1273
Intel Core i3-2357M @ 1.30GHz,788
Intel Core i3-2365M @ 1.40GHz,812
Intel Core i3-2367M @ 1.40GHz,851
Intel Core i3-2370M @ 2.40GHz,1374
Intel Core i3-2375M @ 1.50GHz,892
Intel Core i3-2377M @ 1.50GHz,876
Intel Core i3-3110M @ 2.40GHz,1653
Intel Core i3-3120M @ 2.50GHz,1714
Intel Core i3-3130M @ 2.60GHz,1906
Intel Core i3-3210 @ 3.20GHz,2225
Intel Core i3-3217U @ 1.80GHz,1228
Intel Core i3-3217UE @ 1.60GHz,1362
Intel Core i3-3220 @ 3.30GHz,2276
Intel Core i3-3220T @ 2.80GHz,1953
Intel Core i3-3225 @ 3.30GHz,2280
Intel Core i3-3227U @ 1.90GHz,1301
Intel Core i3-3229Y @ 1.40GHz,1014
Intel Core i3-3240 @ 3.40GHz,2353
Intel Core i3-3240T @ 2.90GHz,2084
Intel Core i3-3245 @ 3.40GHz,2419
Intel Core i3-3250 @ 3.50GHz,2463
Intel Core i3-3250T @ 3.00GHz,2650
Intel Core i3-330E @ 2.13GHz,1260
Intel Core i3-330M @ 2.13GHz,1032
Intel Core i3-330UM @ 1.20GHz,543
Intel Core i3-350M @ 2.27GHz,1091
Intel Core i3-370M @ 2.40GHz,1170
Intel Core i3-380M @ 2.53GHz,1210
Intel Core i3-380UM @ 1.33GHz,748
Intel Core i3-390M @ 2.67GHz,1289
Intel Core i3-4000M @ 2.40GHz,1800
Intel Core i3-4005U @ 1.70GHz,1651
Intel Core i3-4010U @ 1.70GHz,1663
Intel Core i3-4010Y @ 1.30GHz,1358
Intel Core i3-4012Y @ 1.50GHz,1276
Intel Core i3-4020Y @ 1.50GHz,1453
Intel Core i3-4025U @ 1.90GHz,1954
Intel Core i3-4030U @ 1.90GHz,1869
Intel Core i3-4030Y @ 1.60GHz,1654
Intel Core i3-4100E @ 2.40GHz,1848
Intel Core i3-4100M @ 2.50GHz,2519
Intel Core i3-4100U @ 1.80GHz,1926
Intel Core i3-4110M @ 2.60GHz,2678
Intel Core i3-4110U @ 1.90GHz,1860
Intel Core i3-4120U @ 2.00GHz,1504
Intel Core i3-4130 @ 3.40GHz,3336
Intel Core i3-4130T @ 2.90GHz,2872
Intel Core i3-4150 @ 3.50GHz,3401
Intel Core i3-4150T @ 3.00GHz,2892
Intel Core i3-4158U @ 2.00GHz,1874
Intel Core i3-4160 @ 3.60GHz,3503
Intel Core i3-4160T @ 3.10GHz,3092
Intel Core i3-4170 @ 3.70GHz,3577
Intel Core i3-4170T @ 3.20GHz,3144
Intel Core i3-4330 @ 3.50GHz,3481
Intel Core i3-4330T @ 3.00GHz,3105
Intel Core i3-4330TE @ 2.40GHz,2022
Intel Core i3-4340 @ 3.60GHz,3510
Intel Core i3-4350 @ 3.60GHz,3613
Intel Core i3-4350T @ 3.10GHz,3156
Intel Core i3-4360 @ 3.70GHz,3644
Intel Core i3-4360T @ 3.20GHz,3294
Intel Core i3-4370 @ 3.80GHz,3861
Intel Core i3-4370T @ 3.30GHz,3361
Intel Core i3-4570T @ 2.90GHz,3244
Intel Core i3-5005U @ 2.00GHz,2011
Intel Core i3-5010U @ 2.10GHz,2151
Intel Core i3-5015U @ 2.10GHz,2008
Intel Core i3-5020U @ 2.20GHz,2218
Intel Core i3-5157U @ 2.50GHz,2593
Intel Core i3-530 @ 2.93GHz,1518
Intel Core i3-540 @ 3.07GHz,1557
Intel Core i3-550 @ 3.20GHz,1632
Intel Core i3-560 @ 3.33GHz,1642
Intel Core i3-6006U @ 2.00GHz,2274
Intel Core i3-6098P @ 3.60GHz,3971
Intel Core i3-6100 @ 3.70GHz,4100
Intel Core i3-6100E @ 2.70GHz,3315
Intel Core i3-6100H @ 2.70GHz,3008
Intel Core i3-6100T @ 3.20GHz,3628
Intel Core i3-6100TE @ 2.70GHz,3109
Intel Core i3-6100U @ 2.30GHz,2628
Intel Core i3-6102E @ 1.90GHz,2349
Intel Core i3-6157U @ 2.40GHz,2788
Intel Core i3-6167U @ 2.70GHz,3128
Intel Core i3-6300 @ 3.80GHz,4351
Intel Core i3-6300T @ 3.30GHz,3985
Intel Core i3-6320 @ 3.90GHz,4394
Intel Core i3-7020U @ 2.30GHz,2568
Intel Core i3-7100 @ 3.90GHz,4312
Intel Core i3-7100H @ 3.00GHz,3450
Intel Core i3-7100T @ 3.40GHz,3751
Intel Core i3-7100U @ 2.40GHz,2722
Intel Core i3-7101E @ 3.90GHz,4430
Intel Core i3-7101TE @ 3.40GHz,3956
Intel Core i3-7102E @ 2.10GHz,2599
Intel Core i3-7130U @ 2.70GHz,3038
Intel Core i3-7167U @ 2.80GHz,3368
Intel Core i3-7300 @ 4.00GHz,4519
Intel Core i3-7300T @ 3.50GHz,4140
Intel Core i3-7320 @ 4.10GHz,4767
Intel Core i3-7350K @ 4.20GHz,4874
Intel Core i3-8100 @ 3.60GHz,6061
Intel Core i3-8100B @ 3.60GHz,5891
Intel Core i3-8100H @ 3.00GHz,4435
Intel Core i3-8100T @ 3.10GHz,5271
Intel Core i3-8109U @ 3.00GHz,4179
Intel Core i3-8121U @ 2.20GHz,4271
Intel Core i3-8130U @ 2.20GHz,3522
Intel Core i3-8140U @ 2.10GHz,3919
Intel Core i3-8145U @ 2.10GHz,3769
Intel Core i3-8145UE @ 2.20GHz,4010
Intel Core i3-8300 @ 3.70GHz,6368
Intel Core i3-8300T @ 3.20GHz,5416
Intel Core i3-8350K @ 4.00GHz,6925
Intel Core i3-9100 @ 3.60GHz,6605
Intel Core i3-9100E @ 3.10GHz,6539
Intel Core i3-9100F @ 3.60GHz,6704
Intel Core i3-9100HL @ 1.60GHz,3454
Intel Core i3-9100T @ 3.10GHz,5628
Intel Core i3-9100TE @ 2.20GHz,4589
Intel Core i3-9300 @ 3.70GHz,7075
Intel Core i3-9300T @ 3.20GHz,6323
Intel Core i3-9320 @ 3.70GHz,7358
Intel Core i3-9350K @ 4.00GHz,7596
Intel Core i3-9350KF @ 4.00GHz,7602
Intel Core i3-N300,8132
Intel Core i3-N305,9559
Intel Core i5 750S @ 2.40GHz,1326
Intel Core i5 E 520 @ 2.40GHz,1619
Intel Core i5-10200H @ 2.40GHz,7985
Intel Core i5-10210U @ 1.60GHz,6065
Intel Core i5-10210Y @ 1.00GHz,4068
Intel Core i5-10300H @ 2.50GHz,8194
Intel Core i5-1030NG7 @ 1.10GHz,5601
Intel Core i5-10310U @ 1.70GHz,5893
Intel Core i5-1035G1 @ 1.00GHz,7145
Intel Core i5-1035G4 @ 1.10GHz,7626
Intel Core i5-1035G7 @ 1.20GHz,7933
Intel Core i5-1038NG7 @ 2.00GHz,8796
Intel Core i5-10400 @ 2.90GHz,11986
Intel Core i5-10400F @ 2.90GHz,12107
Intel Core i5-10400H @ 2.60GHz,8241
Intel Core i5-10400T @ 2.00GHz,9805
Intel Core i5-10500 @ 3.10GHz,12986
Intel Core i5-10500E @ 3.10GHz,11368
Intel Core i5-10500H @ 2.50GHz,10978
