Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
Dell Inspiron 5406 2-in-1,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,82900,https://laptopmedia.com/laptop-specs/dell-inspiron-5406-2-in-1-72/,https://www.amazon.com/exec/obidos/ASIN/B0928CLTSG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Vostro 15 3520,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,82900,https://laptopmedia.com/laptop-specs/dell-vostro-15-3520-129/,https://www.amazon.com/exec/obidos/ASIN/B0D82B44ZZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 5430,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,69900,https://laptopmedia.com/laptop-specs/dell-latitude-5430-96/,https://www.amazon.com/exec/obidos/ASIN/B0CDCLVPDL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell XPS 9520,Intel Core i7-12700H,24GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 40W)","15.6”, FHD+ (1920 x 1200), IPS",2000GB SSD,230900,https://laptopmedia.com/laptop-specs/dell-xps-9520-309/,https://www.amazon.com/exec/obidos/ASIN/B0CKMWFQP4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 7430,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,135900,https://laptopmedia.com/laptop-specs/dell-latitude-7430-92/,https://www.amazon.com/exec/obidos/ASIN/B0CL9SSP3P?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell XPS 9520,Intel Core i7-12700H,16GB RAM,"NVIDIA GeForce RTX 3050 Ti (Laptop, 40W)","15.6”, FHD+ (1920 x 1200), IPS",1000GB SSD,225900,https://laptopmedia.com/laptop-specs/dell-xps-9520-95/,https://www.amazon.com/exec/obidos/ASIN/B0CKMXCVBR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell XPS 13 9360,Intel Core i7-7500U,8GB RAM,Intel HD Graphics 620,"13.3”, QHD+ (3200 x 1800), IPS",256GB SSD,99700,https://laptopmedia.com/laptop-specs/dell-xps-13-9360-8/,https://www.amazon.com/exec/obidos/ASIN/B01LVZTWWX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 5310 (2-in-1),Intel Core i7-10610U,16GB RAM,Intel UHD Graphics,"13.3”, Full HD (1920 x 1080), IPS",512GB SSD,119900,https://laptopmedia.com/laptop-specs/dell-latitude-5310-2-in-1-8/,https://www.amazon.com/exec/obidos/ASIN/B08FBY13C9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Inspiron 14 Plus 7440,Intel Core Ultra 7 155H,32GB RAM,Intel Arc (8-Cores),"14.0″, 2.8K (2880 x 1800), 90 Hz, IPS",4000GB SSD,151900,https://laptopmedia.com/laptop-specs/dell-inspiron-14-plus-7440-30/,https://www.amazon.com/exec/obidos/ASIN/B0G2LZ13MP?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Dell Latitude 13 5330,Intel Core i7-1265U,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"13.3”, Full HD (1920 x 1080), IPS",512GB SSD,45999,https://laptopmedia.com/laptop-specs/dell-latitude-13-5330-10/,https://www.amazon.com/exec/obidos/ASIN/B0DGHY4FBY?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
