Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link
Lenovo Slim 7i,Intel Core Ultra 7 155H,16GB RAM,Intel Arc (8-Cores),"14.0”, WUXGA (1920 x 1200), OLED",2000GB SSD,121900,https://laptopmedia.com/laptop-specs/lenovo-slim-7i-29/,https://www.amazon.com/exec/obidos/ASIN/B0F1Y96Q8S?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 1,Intel Core i5-1335U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0”, WUXGA (1920 x 1200), IPS",4000GB SSD,132900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-708/,https://www.amazon.com/exec/obidos/ASIN/B0FM3Y989L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Slim 7,Intel Core i7-1360P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0″, 2.8K (2880 x 1800), 120 Hz, IPS",1000GB SSD,96900,https://laptopmedia.com/laptop-specs/lenovo-slim-7-39/,https://www.amazon.com/exec/obidos/ASIN/B0FXG754BR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Yoga 7 2-in-1,AMD Ryzen 7 8840HS,16GB RAM,AMD Radeon 780M,"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,100900,https://laptopmedia.com/laptop-specs/lenovo-yoga-7-2-in-1-313/,https://www.amazon.com/exec/obidos/ASIN/B0DP2FV5D4?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo LOQ 15,AMD Ryzen 5 7235HS,32GB RAM,"NVIDIA GeForce RTX 4050 (Laptop, 105W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,124999,https://laptopmedia.com/laptop-specs/lenovo-loq-15-1147/,https://www.amazon.com/exec/obidos/ASIN/B0FNW6J89H?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Yoga 7i,Intel Core i5-1240P,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"16.0"", WQXGA (2560 x 1600), IPS",256GB SSD,67999,https://laptopmedia.com/laptop-specs/lenovo-yoga-7i-399/,https://www.amazon.com/exec/obidos/ASIN/B0DRCCC9NK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo V15 Gen 4,Intel Core i7-13620H,24GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",1000GB SSD,84900,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-4-416/,https://www.amazon.com/exec/obidos/ASIN/B0DXL7C9C5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3,AMD Ryzen 5 3500U,36GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,80400,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-912/,https://www.amazon.com/exec/obidos/ASIN/B0DJQXGC6L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1335U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,46999,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-2412/,https://www.amazon.com/exec/obidos/ASIN/B0G2K2DW84?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1335U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,89999,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-2304/,https://www.amazon.com/exec/obidos/ASIN/B0FXCQQFV7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 2,Intel Core Ultra 7 155U,24GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,129400,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-2-433/,https://www.amazon.com/exec/obidos/ASIN/B0DXKWK7ZX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1335U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,56999,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-1941/,https://www.amazon.com/exec/obidos/ASIN/B0G41Q1KR7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 1,AMD Ryzen 5 7530U,40GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,129990,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-602/,https://www.amazon.com/exec/obidos/ASIN/B0FQ5J36Q2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad L14 Gen 2,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",2000GB SSD,109999,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-l14-gen-2-162/,https://www.amazon.com/exec/obidos/ASIN/B09V6RXF1X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 5 2-in-1,AMD Ryzen 7 8845HS,16GB RAM,AMD Radeon 780M,"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,89688,https://laptopmedia.com/laptop-specs/lenovo-ideapad-5-2-in-1-18/,https://www.amazon.com/exec/obidos/ASIN/B0D7P3W6WS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Yoga 7 2-in-1,Intel Core Ultra 7 155U,16GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",1024GB SSD,84999,https://laptopmedia.com/laptop-specs/lenovo-yoga-7-2-in-1-14/,https://www.amazon.com/exec/obidos/ASIN/B0D6VHYP11?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E15 Gen 4,AMD Ryzen 5 5625U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,99900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e15-gen-4-180/,https://www.amazon.com/exec/obidos/ASIN/B0BM4GTDG8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad T14 Gen 2,Intel Core i7-1165G7,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,129900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t14-gen-2-307/,https://www.amazon.com/exec/obidos/ASIN/B0CKYXD3P8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3i 15,Intel Core i5-1155G7,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,69900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-15-1689/,https://www.amazon.com/exec/obidos/ASIN/B0CLYVDY54?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1235U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,86900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-396/,https://www.amazon.com/exec/obidos/ASIN/B0FD528GCT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo V15 Gen 4,Intel Core i5-13420H,24GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,78900,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-4-512/,https://www.amazon.com/exec/obidos/ASIN/B0DM8VYNZS?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo V15 Gen 3,Intel Core i5-1235U,24GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",1000GB SSD,76999,https://laptopmedia.com/laptop-specs/lenovo-v15-gen-3-401/,https://www.amazon.com/exec/obidos/ASIN/B0DVB2L3HL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad Slim 5i,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,91900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-slim-5i-210/,https://www.amazon.com/exec/obidos/ASIN/B0DCCDSQMN?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3i 15,Intel Core i7-1255U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,82900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-15-1776/,https://www.amazon.com/exec/obidos/ASIN/B0CLV8NRQM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Yoga 7i 2-in-1,Intel Core Ultra 5 125U,16GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,89900,https://laptopmedia.com/laptop-specs/lenovo-yoga-7i-2-in-1-137/,https://www.amazon.com/exec/obidos/ASIN/B0B7R4Y3YL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 1,Intel Core i7-1355U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,115900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-351/,https://www.amazon.com/exec/obidos/ASIN/B0CJR1NBW9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad T14 Gen 2,Intel Core i7-1165G7,24GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), IPS",1000GB SSD,139900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-t14-gen-2-275/,https://www.amazon.com/exec/obidos/ASIN/B0CKYZYD7S?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E14 Gen 6,AMD Ryzen 7 7735U,16GB RAM,AMD Radeon 680M,"14.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,115999,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e14-gen-6-327/,https://www.amazon.com/exec/obidos/ASIN/B0G5QDKLRB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo 300w 2-in-1 Gen 5,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"11.6”, HD (1366 x 768), IPS",128GB SSD,108760,https://laptopmedia.com/laptop-specs/lenovo-300w-2-in-1-gen-5-4/,https://www.amazon.com/exec/obidos/ASIN/B0FPMC437P?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad Slim 5/5i,AMD Ryzen AI 7 350,24GB RAM,AMD Radeon 860M,"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,127400,https://laptopmedia.com/laptop-specs/lenovo-ideapad-slim-5-5i-73/,https://www.amazon.com/exec/obidos/ASIN/B0FKGYZPFC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad Slim 5/5i,AMD Ryzen AI 7 350,24GB RAM,AMD Radeon 860M,"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,122400,https://laptopmedia.com/laptop-specs/lenovo-ideapad-slim-5-5i-72/,https://www.amazon.com/exec/obidos/ASIN/B0FKGXSHF1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3,AMD Ryzen 5 3500U,36GB RAM,AMD Radeon RX Vega 3,"15.6”, Full HD (1920 x 1080), TN",4000GB SSD,100400,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-862/,https://www.amazon.com/exec/obidos/ASIN/B0DJQXL38G?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1335U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,118900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-2139/,https://www.amazon.com/exec/obidos/ASIN/B0FY9MBWY6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo V14 Gen 4,Intel Core i7-1355U,40GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), TN",4000GB SSD,133900,https://laptopmedia.com/laptop-specs/lenovo-v14-gen-4-93/,https://www.amazon.com/exec/obidos/ASIN/B0FFH44CFC?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad Slim 3,AMD Ryzen 7 7730U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,84999,https://laptopmedia.com/laptop-specs/lenovo-ideapad-slim-3-661/,https://www.amazon.com/exec/obidos/ASIN/B0FL1Y94P3?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Yoga 7 2-in-1,Intel Core Ultra 7 155U,16GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,96900,https://laptopmedia.com/laptop-specs/lenovo-yoga-7-2-in-1-247/,https://www.amazon.com/exec/obidos/ASIN/B0DQ8FN2CM?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 2,Intel Core Ultra 7 155U,16GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",512GB SSD,111999,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-2-547/,https://www.amazon.com/exec/obidos/ASIN/B0DWGPVV3X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1334U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,109900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-2362/,https://www.amazon.com/exec/obidos/ASIN/B0G1NJXK3M?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad Slim 3x,Qualcomm Snapdragon X (X1-26-100),16GB RAM,Qualcomm SD X Adreno X1-45 1.7 TFLOPS,"15”, WUXGA (1920 x 1200), IPS",1000GB SSD,70500,https://laptopmedia.com/laptop-specs/lenovo-ideapad-slim-3x-11/,https://www.amazon.com/exec/obidos/ASIN/B0FLD8H4RK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 1,AMD Ryzen 7 7730U,24GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,87900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-476/,https://www.amazon.com/exec/obidos/ASIN/B0CTBCDMF7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3/3i,Intel Core i5-1235U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",2000GB SSD,75999,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-3i-323/,https://www.amazon.com/exec/obidos/ASIN/B0DVBQFL12?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3i,Intel Core i3-1115G4,12GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), TN",256GB SSD,41500,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-264/,https://www.amazon.com/exec/obidos/ASIN/B0BBR6RZM6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 5,AMD Ryzen 7 5825U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,89900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-5-121/,https://www.amazon.com/exec/obidos/ASIN/B0FJRS3MQR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 2,Intel Core Ultra 7 155U,16GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,124900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-2-238/,https://www.amazon.com/exec/obidos/ASIN/B0DQKWBSBX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad Flex 5i 14,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,119999,https://laptopmedia.com/laptop-specs/lenovo-ideapad-flex-5i-14-18/,https://www.amazon.com/exec/obidos/ASIN/B0BRFZ1ZXQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3i 15,Intel Core i5-1135G7,36GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,72900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-15-1221/,https://www.amazon.com/exec/obidos/ASIN/B0C7YC8LNQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Yoga 7i 16,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0″, 2.5K (2560 x 1440), IPS",1000GB SSD,134900,https://laptopmedia.com/laptop-specs/lenovo-yoga-7i-26/,https://www.amazon.com/exec/obidos/ASIN/B0B9KL1T85?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 5 2-in-1,Intel Core 7 150U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,96900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-5-2-in-1-188/,https://www.amazon.com/exec/obidos/ASIN/B0DB88CC5H?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3i 15,Intel Core i5-1135G7,12GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",256GB SSD,39998,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-15-480/,https://www.amazon.com/exec/obidos/ASIN/B09LGWZ224?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Legion 5i 15,Intel Core i7-10750H,32GB RAM,NVIDIA GeForce GTX 1650 Ti (Laptop),"15.6”, Full HD (1920 x 1080), 120 Hz, IPS",512GB SSD,103890,https://laptopmedia.com/laptop-specs/lenovo-legion-5i-15-310/,https://www.amazon.com/exec/obidos/ASIN/B08NPGW2YH?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1335U,40GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,93900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-2597/,https://www.amazon.com/exec/obidos/ASIN/B0FVSPP56M?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Yoga 7i,Intel Core i7-1360P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0"", QHD+ (2560 x 1600), IPS",2000GB SSD,143900,https://laptopmedia.com/laptop-specs/lenovo-yoga-7i-272/,https://www.amazon.com/exec/obidos/ASIN/B0G3WR5J97?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 2,Intel Core Ultra 7 155H,8GB RAM,Intel Arc (8-Cores),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,119400,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-2-532/,https://www.amazon.com/exec/obidos/ASIN/B0FPCC2R2W?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 1,Intel Core i5-1335U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), TN",256GB SSD,95900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-2279/,https://www.amazon.com/exec/obidos/ASIN/B0FZXBDBLV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3,Intel Core i3-1005G1,36GB RAM,Intel UHD Graphics G1,"14.0”, Full HD (1920 x 1080), IPS",4000GB SSD,92900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-844/,https://www.amazon.com/exec/obidos/ASIN/B0DM1Y3CJ5?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 2,Intel Core Ultra 7 155U,48GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,148900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-2-349/,https://www.amazon.com/exec/obidos/ASIN/B0DX6XS4CB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 2,Intel Core Ultra 7 155U,32GB RAM,Intel Graphics (4-Cores),"16.0”, WUXGA (1920 x 1200), IPS",1024GB SSD,123900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-2-731/,https://www.amazon.com/exec/obidos/ASIN/B0DYNFX9FB?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkBook 14 Gen 8,Intel Core 7 240H,24GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","14.0”, WUXGA (1920 x 1200), IPS",2000GB SSD,144400,https://laptopmedia.com/laptop-specs/lenovo-thinkbook-14-gen-8-61/,https://www.amazon.com/exec/obidos/ASIN/B0FB3HB59M?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 5 2-in-1,Intel Core 7 150U,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,76999,https://laptopmedia.com/laptop-specs/lenovo-ideapad-5-2-in-1-184/,https://www.amazon.com/exec/obidos/ASIN/B0DJXKYSK7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 2,AMD Ryzen 7 7735U,32GB RAM,AMD Radeon 680M,"16.0”, WUXGA (1920 x 1200), IPS",4000GB SSD,116599,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-2-393/,https://www.amazon.com/exec/obidos/ASIN/B0FV4QZHGW?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo V14 Gen 5,Intel Core 3 100U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","14.0”, Full HD (1920 x 1080), TN",256GB SSD,89412,https://laptopmedia.com/laptop-specs/lenovo-v14-gen-5-9/,https://www.amazon.com/exec/obidos/ASIN/B0FR47JYNK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E16 Gen 1,AMD Ryzen 5 7530U,40GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","16.0”, WUXGA (1920 x 1200), IPS",1000GB SSD,119990,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e16-gen-1-691/,https://www.amazon.com/exec/obidos/ASIN/B0FQB2FWRQ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo V14 Gen 4,Intel Core i7-1355U,24GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0”, Full HD (1920 x 1080), TN",2000GB SSD,90900,https://laptopmedia.com/laptop-specs/lenovo-v14-gen-4-116/,https://www.amazon.com/exec/obidos/ASIN/B0FGCV4X7C?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3,AMD Ryzen 7 5700U,40GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",4000GB SSD,135900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-35/,https://www.amazon.com/exec/obidos/ASIN/B0FR4TCFZD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad E15 Gen 2,Intel Core i5-1135G7,32GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,119900,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e15-gen-2-449/,https://www.amazon.com/exec/obidos/ASIN/B08CPR86YZ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo ThinkPad X1 Yoga 5,Intel Core i7-10610U,16GB RAM,Intel UHD Graphics,"14.0”, WQHD (2560 x 1440), IPS",256GB SSD,149999,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-x1-yoga-5-50/,https://www.amazon.com/exec/obidos/ASIN/B08S293M2J?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad Slim 3,AMD Ryzen 7 5825U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,75900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-slim-3-576/,https://www.amazon.com/exec/obidos/ASIN/B0F2S7XN7G?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo Slim 7,Intel Core i7-1360P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0″, 2.8K (2880 x 1800), 120 Hz, IPS",1000GB SSD,116900,https://laptopmedia.com/laptop-specs/lenovo-slim-7-35/,https://www.amazon.com/exec/obidos/ASIN/B0CZ3D3GHR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3 14,Intel Core i5-1135G7,36GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",2000GB SSD,86900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-14-1661/,https://www.amazon.com/exec/obidos/ASIN/B0CB3ZQ73P?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
Lenovo IdeaPad 3,AMD Ryzen 7 5700U,36GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","14.0”, Full HD (1920 x 1080), TN",1000GB SSD,79900,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-243/,https://www.amazon.com/exec/obidos/ASIN/B0DGPSB17H?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3
