Nama_Laptop,Processor,RAM,GPU,Display,Storage,Harga_USD,Detail_URL,Buy_Link,Price_IDR,CPU_Score,GPU_Score,Screen_Score
HP 250 G9 / 255 G9,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,54900,https://laptopmedia.com/laptop-specs/hp-250-g9-255-g9-219/,https://www.amazon.com/exec/obidos/ASIN/B0DJX9FSQJ?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,878400000,12549,2595,90
HP 15,Intel Core i3-1115G4,16GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,43544,https://laptopmedia.com/laptop-specs/hp-15-13860/,https://www.amazon.com/exec/obidos/ASIN/B0BZ8XMYRF?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,696704000,5823,1533,90
HP 17,AMD Ryzen 5 7430U,16GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","17.3”, Full HD (1920 x 1080), IPS",256GB SSD,55900,https://laptopmedia.com/laptop-specs/hp-17-14710/,https://www.amazon.com/exec/obidos/ASIN/B0DYVCFLL7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,894400000,3000,1500,90
HP 15,Intel Core i3-1315U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), TN",512GB SSD,53999,https://laptopmedia.com/laptop-specs/hp-15-20248/,https://www.amazon.com/exec/obidos/ASIN/B0DTZ6HFNV?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,863984000,11077,1533,50
HP 15,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,66900,https://laptopmedia.com/laptop-specs/hp-15-3961/,https://www.amazon.com/exec/obidos/ASIN/B0DKQZPCJ8?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1070400000,12549,2595,90
HP 14,AMD Ryzen 7 5700U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","14.0”, HD (1366 x 768), TN",512GB SSD,68900,https://laptopmedia.com/laptop-specs/hp-14-6816/,https://www.amazon.com/exec/obidos/ASIN/B0FH218D6L?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1102400000,16000,1513,20
HP 15,Intel Celeron N4120,16GB RAM,Intel UHD Graphics 600,"15.6”, HD (1366 x 768), TN",1000GB SSD,52999,https://laptopmedia.com/laptop-specs/hp-15-11329/,https://www.amazon.com/exec/obidos/ASIN/B0B69YP7QL?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,847984000,2443,310,20
HP 14 (14-dk),AMD Athlon Silver 3050U,4GB RAM,AMD Radeon RX Vega 3,"14.0”, HD (1366 x 768), TN",128GB SSD,16998,https://laptopmedia.com/laptop-specs/hp-14-14-dk-373/,https://www.amazon.com/exec/obidos/ASIN/B087N73SHT?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,271968000,3000,1500,20
HP Pavilion x360 14,Intel Core i5-1135G7,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,76986,https://laptopmedia.com/laptop-specs/hp-pavilion-x360-14-1975/,https://www.amazon.com/exec/obidos/ASIN/B0C5MBYX56?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1231776000,9332,2595,90
HP Fortis x360 11 G3 J Chromebook,Intel Celeron N5100,8GB RAM,Intel UHD Graphics (Jasper Lake 24 EU),"11.6”, HD (1366 x 768), IPS",64GB SSD,19759,https://laptopmedia.com/laptop-specs/hp-fortis-x360-11-g3-j-chromebook-2/,https://www.amazon.com/exec/obidos/ASIN/B0C3XR7VBX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,316144000,3311,1533,60
HP 17,Intel Core i3-1115G4,32GB RAM,Intel UHD Graphics Xe G4 (48EU),"17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,66900,https://laptopmedia.com/laptop-specs/hp-17-13400/,https://www.amazon.com/exec/obidos/ASIN/B0BHNYCYFX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1070400000,5823,1533,90
HP 15,AMD Ryzen 3 3250U,4GB RAM,AMD Radeon RX Vega 3,"15.6”, HD (1366 x 768), TN",256GB SSD,29900,https://laptopmedia.com/laptop-specs/hp-15-15-ef1041nr/,https://www.amazon.com/exec/obidos/ASIN/B08PNXLS3F?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,478400000,3000,1500,20
HP Pavilion 15 (15-cs3),Intel Core i5-1035G1,12GB RAM,Intel UHD Graphics G1,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,69900,https://laptopmedia.com/laptop-specs/hp-pavilion-15-15-cs3-257/,https://www.amazon.com/exec/obidos/ASIN/B0871PYK2X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1118400000,7144,1533,90
HP 15,Intel Core i7-1355U,8GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), TN",256GB SSD,70900,https://laptopmedia.com/laptop-specs/hp-15-26783/,https://www.amazon.com/exec/obidos/ASIN/B0FB3JKBCK?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1134400000,13908,2595,50
HP 14,Intel Processor N150,8GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",512GB SSD,55900,https://laptopmedia.com/laptop-specs/hp-14-11346/,https://www.amazon.com/exec/obidos/ASIN/B0G12KLJ6Y?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,894400000,3000,1533,20
HP 15,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,64900,https://laptopmedia.com/laptop-specs/hp-15-26614/,https://www.amazon.com/exec/obidos/ASIN/B0G4468NJD?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1038400000,12549,2595,90
HP 17,Intel Core i3-N305,32GB RAM,Intel UHD Graphics Xe 750 (32EU),"17.3”, HD+ (1600 x 900), TN",2000GB SSD,40999,https://laptopmedia.com/laptop-specs/hp-17-21776/,https://www.amazon.com/exec/obidos/ASIN/B0FS7P87PG?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,655984000,9413,1533,30
HP 15,AMD Ryzen 3 5300U,8GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, HD (1366 x 768), TN",128GB SSD,39900,https://laptopmedia.com/laptop-specs/hp-15-24537/,https://www.amazon.com/exec/obidos/ASIN/B0FPTHVM3K?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,638400000,3000,1492,20
HP 15,Intel Core i3-1315U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",256GB SSD,68999,https://laptopmedia.com/laptop-specs/hp-15-23502/,https://www.amazon.com/exec/obidos/ASIN/B0FHB4RL9X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1103984000,11077,1533,20
HP ENVY x360 14,Intel Core 5 120U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,52400,https://laptopmedia.com/laptop-specs/hp-envy-x360-14-378/,https://www.amazon.com/exec/obidos/ASIN/B0DP9DNVB2?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,838400000,15341,2595,90
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,33900,https://laptopmedia.com/laptop-specs/hp-14-9055/,https://www.amazon.com/exec/obidos/ASIN/B0F8VQYKB1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,542400000,3000,1533,20
HP 15,Intel Processor N200,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,36900,https://laptopmedia.com/laptop-specs/hp-15-21877/,https://www.amazon.com/exec/obidos/ASIN/B0CVTYZMLR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,590400000,3000,1533,20
HP 14,Intel Processor N150,16GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,34999,https://laptopmedia.com/laptop-specs/hp-14-8884/,https://www.amazon.com/exec/obidos/ASIN/B0F4WB22BP?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,559984000,3000,1533,20
HP 15,Intel Core i3-1215U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",256GB SSD,32098,https://laptopmedia.com/laptop-specs/hp-15-20833/,https://www.amazon.com/exec/obidos/ASIN/B0DT145QS6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,513568000,10156,1533,20
HP 15,Intel Core i3-1215U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",256GB SSD,33700,https://laptopmedia.com/laptop-specs/hp-15-20791/,https://www.amazon.com/exec/obidos/ASIN/B0DZ65QS64?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,539200000,10156,1533,20
HP 15,Intel Core i5-1235U,16GB RAM,Intel Iris Xe Graphics G7 (80EU),"15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,74900,https://laptopmedia.com/laptop-specs/hp-15-26403/,https://www.amazon.com/exec/obidos/ASIN/B0DGPS49M9?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1198400000,12549,2595,90
HP 17,Intel Core i5-1334U,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, Full HD (1920 x 1080), IPS",512GB SSD,63900,https://laptopmedia.com/laptop-specs/hp-17-23245/,https://www.amazon.com/exec/obidos/ASIN/B0DQTR8FCR?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,1022400000,13059,2595,90
HP 250 G10 / 255 G10,AMD Ryzen 3 7330U,32GB RAM,"AMD Radeon RX Vega 6 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",1000GB SSD,59999,https://laptopmedia.com/laptop-specs/hp-250-g10-255-g10-747/,https://www.amazon.com/exec/obidos/ASIN/B0G26HQ2H1?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,959984000,3000,1492,50
HP 15,Intel Processor N200,16GB RAM,Intel UHD Graphics Xe 750 (32EU),"15.6”, HD (1366 x 768), TN",128GB SSD,37900,https://laptopmedia.com/laptop-specs/hp-15-20378/,https://www.amazon.com/exec/obidos/ASIN/B0DRJSL2F7?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,606400000,3000,1533,20
HP 15,Intel Core i3-1315U,8GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, HD (1366 x 768), TN",512GB SSD,50900,https://laptopmedia.com/laptop-specs/hp-15-24861/,https://www.amazon.com/exec/obidos/ASIN/B0FN7PHL3X?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,814400000,11077,1533,20
HP 250 G9 / 255 G9,AMD Ryzen 5 5625U,8GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), TN",512GB SSD,43900,https://laptopmedia.com/laptop-specs/hp-250-g9-255-g9-437/,https://www.amazon.com/exec/obidos/ASIN/B0FPSMJK8T?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,702400000,3000,1500,50
HP 14,Intel Celeron N4120,16GB RAM,Intel UHD Graphics 600,"14.0”, HD (1366 x 768), TN",128GB SSD,44900,https://laptopmedia.com/laptop-specs/hp-14-7819/,https://www.amazon.com/exec/obidos/ASIN/B0DHT119R6?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,718400000,2443,310,20
HP 14,Intel Processor N150,4GB RAM,Intel UHD Graphics Xe (24EU),"14.0”, HD (1366 x 768), TN",128GB SSD,21088,https://laptopmedia.com/laptop-specs/hp-14-10291/,https://www.amazon.com/exec/obidos/ASIN/B0FMXYT9KX?tag=specslaptops-20&linkCode=assoc-rails-rate-card-link-code-tw3,337408000,3000,1533,20
